Date and Time,16 Nov 2023   08:35
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
               1,       10.000 Hz,      200 mV p-p,       70.850 dB
               2,       10.965 Hz,      200 mV p-p,       72.463 dB
               3,       12.023 Hz,      200 mV p-p,       69.662 dB
               4,       13.183 Hz,      200 mV p-p,       69.545 dB
               5,       14.454 Hz,      200 mV p-p,       68.994 dB
               6,       15.849 Hz,      200 mV p-p,       67.272 dB
               7,       17.378 Hz,      200 mV p-p,       68.946 dB
               8,       19.055 Hz,      200 mV p-p,       71.485 dB
               9,       20.893 Hz,      200 mV p-p,       68.206 dB
              10,       22.909 Hz,      200 mV p-p,       64.246 dB
              11,       25.119 Hz,      200 mV p-p,       67.586 dB
              12,       27.542 Hz,      200 mV p-p,       64.732 dB
              13,       30.200 Hz,      200 mV p-p,       70.376 dB
              14,       33.113 Hz,      200 mV p-p,       62.073 dB
              15,       36.308 Hz,      200 mV p-p,       62.159 dB
              16,       39.811 Hz,      200 mV p-p,       72.334 dB
              17,       43.652 Hz,      200 mV p-p,       61.700 dB
              18,       47.863 Hz,      200 mV p-p,       61.824 dB
              19,       52.481 Hz,      200 mV p-p,       62.960 dB
              20,       57.544 Hz,      200 mV p-p,       62.346 dB
              21,       63.096 Hz,      200 mV p-p,       62.824 dB
              22,       69.183 Hz,      200 mV p-p,       59.826 dB
              23,       75.858 Hz,      200 mV p-p,       59.839 dB
              24,       83.176 Hz,      200 mV p-p,       62.598 dB
              25,       91.201 Hz,      200 mV p-p,       60.774 dB
              26,      100.000 Hz,      200 mV p-p,       57.491 dB
              27,      109.648 Hz,      200 mV p-p,       59.746 dB
              28,      120.226 Hz,      200 mV p-p,       56.614 dB
              29,      131.826 Hz,      200 mV p-p,       55.418 dB
              30,      144.544 Hz,      200 mV p-p,       57.796 dB
              31,      158.489 Hz,      200 mV p-p,       55.243 dB
              32,      173.780 Hz,      200 mV p-p,       54.983 dB
              33,      190.546 Hz,      200 mV p-p,       55.438 dB
              34,      208.930 Hz,      200 mV p-p,       53.863 dB
              35,      229.087 Hz,      200 mV p-p,       54.425 dB
              36,      251.189 Hz,      200 mV p-p,       54.900 dB
              37,      275.423 Hz,      200 mV p-p,       54.160 dB
              38,      301.995 Hz,      200 mV p-p,       52.074 dB
              39,      331.131 Hz,      200 mV p-p,       50.763 dB
              40,      363.078 Hz,      200 mV p-p,       51.347 dB
              41,      398.107 Hz,      200 mV p-p,       51.040 dB
              42,      436.516 Hz,      200 mV p-p,       49.095 dB
              43,      478.630 Hz,      200 mV p-p,       49.464 dB
              44,      524.807 Hz,      200 mV p-p,       50.027 dB
              45,      575.440 Hz,      200 mV p-p,       49.477 dB
              46,      630.957 Hz,      200 mV p-p,       48.829 dB
              47,      691.831 Hz,      200 mV p-p,       46.868 dB
              48,      758.578 Hz,      200 mV p-p,       46.787 dB
              49,      831.764 Hz,      200 mV p-p,       46.251 dB
              50,      912.011 Hz,      200 mV p-p,       48.317 dB
              51,    1.000000 kHz,      200 mV p-p,       45.135 dB
              52,    1.096478 kHz,      200 mV p-p,       44.960 dB
              53,    1.202264 kHz,      200 mV p-p,       43.590 dB
              54,    1.318257 kHz,      200 mV p-p,       43.534 dB
              55,    1.445440 kHz,      200 mV p-p,       42.784 dB
              56,    1.584893 kHz,      200 mV p-p,       42.145 dB
              57,    1.737801 kHz,      200 mV p-p,       41.737 dB
              58,    1.905461 kHz,      200 mV p-p,       40.465 dB
              59,    2.089296 kHz,      200 mV p-p,       40.570 dB
              60,    2.290868 kHz,      200 mV p-p,       40.275 dB
              61,    2.511886 kHz,      200 mV p-p,       39.322 dB
              62,    2.754229 kHz,      200 mV p-p,       39.109 dB
              63,    3.019952 kHz,      200 mV p-p,       37.469 dB
              64,    3.311311 kHz,      200 mV p-p,       37.268 dB
              65,    3.630781 kHz,      200 mV p-p,       35.792 dB
              66,    3.981072 kHz,      200 mV p-p,       35.683 dB
              67,    4.365158 kHz,      200 mV p-p,       34.876 dB
              68,    4.786301 kHz,      200 mV p-p,       34.330 dB
              69,    5.248075 kHz,      200 mV p-p,       33.185 dB
              70,    5.754399 kHz,      200 mV p-p,       28.168 dB
              71,    6.309573 kHz,      200 mV p-p,       28.156 dB
              72,    6.918310 kHz,      200 mV p-p,       28.022 dB
              73,    7.585776 kHz,      200 mV p-p,       25.462 dB
              74,    8.317638 kHz,      200 mV p-p,       25.189 dB
              75,    9.120108 kHz,      200 mV p-p,       27.418 dB
              76,   10.000000 kHz,      200 mV p-p,       26.709 dB
              77,   10.964782 kHz,      200 mV p-p,       26.049 dB
              78,   12.022644 kHz,      200 mV p-p,       25.711 dB
              79,   13.182567 kHz,      200 mV p-p,       24.877 dB
              80,   14.454398 kHz,      200 mV p-p,       24.188 dB
              81,   15.848932 kHz,      200 mV p-p,       23.919 dB
              82,   17.378008 kHz,      200 mV p-p,       22.821 dB
              83,   19.054607 kHz,      200 mV p-p,       20.697 dB
              84,   20.892961 kHz,      200 mV p-p,       20.125 dB
              85,   22.908677 kHz,      200 mV p-p,       19.517 dB
              86,   25.118864 kHz,      200 mV p-p,       19.104 dB
              87,   27.542287 kHz,      200 mV p-p,       18.449 dB
              88,   30.199517 kHz,      200 mV p-p,       16.331 dB
              89,   33.113112 kHz,      200 mV p-p,       15.536 dB
              90,   36.307805 kHz,      200 mV p-p,       14.924 dB
              91,   39.810717 kHz,      200 mV p-p,       14.378 dB
              92,   43.651583 kHz,      200 mV p-p,       13.523 dB
              93,   47.863009 kHz,      200 mV p-p,       13.581 dB
              94,   52.480746 kHz,      200 mV p-p,       11.505 dB
              95,   57.543994 kHz,      200 mV p-p,        9.354 dB
              96,   63.095734 kHz,      200 mV p-p,        9.113 dB
              97,   69.183097 kHz,      200 mV p-p,        8.033 dB
              98,   75.857758 kHz,      200 mV p-p,        7.424 dB
              99,   83.176377 kHz,      200 mV p-p,        6.881 dB
             100,   91.201084 kHz,      200 mV p-p,        7.185 dB
             101,   100.00000 kHz,      200 mV p-p,        7.114 dB
