Date and Time,16 Nov 2023   13:07
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
               1,       10.000 Hz,      200 mV p-p,       68.935 dB
               2,       10.965 Hz,      200 mV p-p,       68.661 dB
               3,       12.023 Hz,      200 mV p-p,       85.136 dB
               4,       13.183 Hz,      200 mV p-p,       69.048 dB
               5,       14.454 Hz,      200 mV p-p,       69.156 dB
               6,       15.849 Hz,      200 mV p-p,       71.418 dB
               7,       17.378 Hz,      200 mV p-p,       70.428 dB
               8,       19.055 Hz,      200 mV p-p,       69.352 dB
               9,       20.893 Hz,      200 mV p-p,       66.558 dB
              10,       22.909 Hz,      200 mV p-p,       68.342 dB
              11,       25.119 Hz,      200 mV p-p,       73.456 dB
              12,       27.542 Hz,      200 mV p-p,       66.991 dB
              13,       30.200 Hz,      200 mV p-p,       66.427 dB
              14,       33.113 Hz,      200 mV p-p,       80.873 dB
              15,       36.308 Hz,      200 mV p-p,       69.538 dB
              16,       39.811 Hz,      200 mV p-p,       68.506 dB
              17,       43.652 Hz,      200 mV p-p,       73.527 dB
              18,       47.863 Hz,      200 mV p-p,       74.416 dB
              19,       52.481 Hz,      200 mV p-p,       66.265 dB
              20,       57.544 Hz,      200 mV p-p,       63.094 dB
              21,       63.096 Hz,      200 mV p-p,       79.965 dB
              22,       69.183 Hz,      200 mV p-p,       73.398 dB
              23,       75.858 Hz,      200 mV p-p,       62.649 dB
              24,       83.176 Hz,      200 mV p-p,       62.242 dB
              25,       91.201 Hz,      200 mV p-p,       64.122 dB
              26,      100.000 Hz,      200 mV p-p,       59.072 dB
              27,      109.648 Hz,      200 mV p-p,       60.290 dB
              28,      120.226 Hz,      200 mV p-p,       57.985 dB
              29,      131.826 Hz,      200 mV p-p,       62.312 dB
              30,      144.544 Hz,      200 mV p-p,       59.066 dB
              31,      158.489 Hz,      200 mV p-p,       59.251 dB
              32,      173.780 Hz,      200 mV p-p,       57.429 dB
              33,      190.546 Hz,      200 mV p-p,       64.456 dB
              34,      208.930 Hz,      200 mV p-p,       55.791 dB
              35,      229.087 Hz,      200 mV p-p,       56.661 dB
              36,      251.189 Hz,      200 mV p-p,       54.597 dB
              37,      275.423 Hz,      200 mV p-p,       55.371 dB
              38,      301.995 Hz,      200 mV p-p,       56.709 dB
              39,      331.131 Hz,      200 mV p-p,       54.691 dB
              40,      363.078 Hz,      200 mV p-p,       55.108 dB
              41,      398.107 Hz,      200 mV p-p,       54.721 dB
              42,      436.516 Hz,      200 mV p-p,       56.073 dB
              43,      478.630 Hz,      200 mV p-p,       58.564 dB
              44,      524.807 Hz,      200 mV p-p,       52.780 dB
              45,      575.440 Hz,      200 mV p-p,       52.377 dB
              46,      630.957 Hz,      200 mV p-p,       53.829 dB
              47,      691.831 Hz,      200 mV p-p,       53.735 dB
              48,      758.578 Hz,      200 mV p-p,       53.741 dB
              49,      831.764 Hz,      200 mV p-p,       51.024 dB
              50,      912.011 Hz,      200 mV p-p,       51.029 dB
              51,    1.000000 kHz,      200 mV p-p,       52.047 dB
              52,    1.096478 kHz,      200 mV p-p,       51.632 dB
              53,    1.202264 kHz,      200 mV p-p,       50.889 dB
              54,    1.318257 kHz,      200 mV p-p,       50.608 dB
              55,    1.445440 kHz,      200 mV p-p,       50.191 dB
              56,    1.584893 kHz,      200 mV p-p,       49.234 dB
              57,    1.737801 kHz,      200 mV p-p,       49.048 dB
              58,    1.905461 kHz,      200 mV p-p,       50.227 dB
              59,    2.089296 kHz,      200 mV p-p,       49.050 dB
              60,    2.290868 kHz,      200 mV p-p,       48.831 dB
              61,    2.511886 kHz,      200 mV p-p,       47.347 dB
              62,    2.754229 kHz,      200 mV p-p,       46.510 dB
              63,    3.019952 kHz,      200 mV p-p,       46.395 dB
              64,    3.311311 kHz,      200 mV p-p,       45.169 dB
              65,    3.630781 kHz,      200 mV p-p,       44.646 dB
              66,    3.981072 kHz,      200 mV p-p,       43.985 dB
              67,    4.365158 kHz,      200 mV p-p,       43.703 dB
              68,    4.786301 kHz,      200 mV p-p,       43.146 dB
              69,    5.248075 kHz,      200 mV p-p,       42.241 dB
              70,    5.754399 kHz,      200 mV p-p,       41.670 dB
              71,    6.309573 kHz,      200 mV p-p,       40.763 dB
              72,    6.918310 kHz,      200 mV p-p,       40.147 dB
              73,    7.585776 kHz,      200 mV p-p,       38.979 dB
              74,    8.317638 kHz,      200 mV p-p,       38.607 dB
              75,    9.120108 kHz,      200 mV p-p,       37.489 dB
              76,   10.000000 kHz,      200 mV p-p,       37.246 dB
              77,   10.964782 kHz,      200 mV p-p,       36.656 dB
              78,   12.022644 kHz,      200 mV p-p,       35.813 dB
              79,   13.182567 kHz,      200 mV p-p,       34.954 dB
              80,   14.454398 kHz,      200 mV p-p,       34.325 dB
              81,   15.848932 kHz,      200 mV p-p,       33.444 dB
              82,   17.378008 kHz,      200 mV p-p,       32.644 dB
              83,   19.054607 kHz,      200 mV p-p,       31.846 dB
              84,   20.892961 kHz,      200 mV p-p,       30.562 dB
              85,   22.908677 kHz,      200 mV p-p,       29.634 dB
              86,   25.118864 kHz,      200 mV p-p,       28.851 dB
              87,   27.542287 kHz,      200 mV p-p,       28.067 dB
              88,   30.199517 kHz,      200 mV p-p,       26.395 dB
              89,   33.113112 kHz,      200 mV p-p,       25.456 dB
              90,   36.307805 kHz,      200 mV p-p,       23.801 dB
              91,   39.810717 kHz,      200 mV p-p,       23.102 dB
              92,   43.651583 kHz,      200 mV p-p,       21.638 dB
              93,   47.863009 kHz,      200 mV p-p,       20.461 dB
              94,   52.480746 kHz,      200 mV p-p,       18.806 dB
              95,   57.543994 kHz,      200 mV p-p,       17.121 dB
              96,   63.095734 kHz,      200 mV p-p,       15.593 dB
              97,   69.183097 kHz,      200 mV p-p,       13.578 dB
              98,   75.857758 kHz,      200 mV p-p,       12.075 dB
              99,   83.176377 kHz,      200 mV p-p,        9.988 dB
             100,   91.201084 kHz,      200 mV p-p,        8.350 dB
             101,   100.00000 kHz,      200 mV p-p,        6.366 dB
