Date and Time,16 Nov 2023   09:53
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
              66,    3.981072 kHz,      200 mV p-p,       35.649 dB
              67,    4.365158 kHz,      200 mV p-p,       34.795 dB
              68,    4.786301 kHz,      200 mV p-p,       34.008 dB
              69,    5.248075 kHz,      200 mV p-p,       33.262 dB
              70,    5.754399 kHz,      200 mV p-p,       32.610 dB
              71,    6.309573 kHz,      200 mV p-p,       31.957 dB
              72,    6.918310 kHz,      200 mV p-p,       31.117 dB
              73,    7.585776 kHz,      200 mV p-p,       30.427 dB
              74,    8.317638 kHz,      200 mV p-p,       29.717 dB
              75,    9.120108 kHz,      200 mV p-p,       29.085 dB
              76,   10.000000 kHz,      200 mV p-p,       28.118 dB
              77,   10.964782 kHz,      200 mV p-p,       27.465 dB
              78,   12.022644 kHz,      200 mV p-p,       26.756 dB
              79,   13.182567 kHz,      200 mV p-p,       25.948 dB
              80,   14.454398 kHz,      200 mV p-p,       25.170 dB
              81,   15.848932 kHz,      200 mV p-p,       24.412 dB
              82,   17.378008 kHz,      200 mV p-p,       23.589 dB
              83,   19.054607 kHz,      200 mV p-p,       22.862 dB
              84,   20.892961 kHz,      200 mV p-p,       21.976 dB
              85,   22.908677 kHz,      200 mV p-p,       21.065 dB
              86,   25.118864 kHz,      200 mV p-p,       20.271 dB
              87,   27.542287 kHz,      200 mV p-p,       19.303 dB
              88,   30.199517 kHz,      200 mV p-p,       18.432 dB
              89,   33.113112 kHz,      200 mV p-p,       17.388 dB
              90,   36.307805 kHz,      200 mV p-p,       16.267 dB
              91,   39.810717 kHz,      200 mV p-p,       15.248 dB
              92,   43.651583 kHz,      200 mV p-p,       14.341 dB
              93,   47.863009 kHz,      200 mV p-p,       13.250 dB
              94,   52.480746 kHz,      200 mV p-p,       12.163 dB
              95,   57.543994 kHz,      200 mV p-p,       11.041 dB
              96,   63.095734 kHz,      200 mV p-p,        9.884 dB
              97,   69.183097 kHz,      200 mV p-p,        9.016 dB
              98,   75.857758 kHz,      200 mV p-p,        8.055 dB
              99,   83.176377 kHz,      200 mV p-p,        7.442 dB
             100,   91.201084 kHz,      200 mV p-p,        6.689 dB
             101,   100.00000 kHz,      200 mV p-p,        6.318 dB
