Date and Time,16 Nov 2023   09:53
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
               1,       10.000 Hz,      200 mV p-p,       63.337 dB
               2,       10.965 Hz,      200 mV p-p,       64.712 dB
               3,       12.023 Hz,      200 mV p-p,       62.455 dB
               4,       13.183 Hz,      200 mV p-p,       66.352 dB
               5,       14.454 Hz,      200 mV p-p,       61.636 dB
               6,       15.849 Hz,      200 mV p-p,       61.911 dB
               7,       17.378 Hz,      200 mV p-p,       60.850 dB
               8,       19.055 Hz,      200 mV p-p,       62.030 dB
               9,       20.893 Hz,      200 mV p-p,       65.233 dB
              10,       22.909 Hz,      200 mV p-p,       61.913 dB
              11,       25.119 Hz,      200 mV p-p,       60.909 dB
              12,       27.542 Hz,      200 mV p-p,       61.215 dB
              13,       30.200 Hz,      200 mV p-p,       63.420 dB
              14,       33.113 Hz,      200 mV p-p,       59.678 dB
              15,       36.308 Hz,      200 mV p-p,       57.456 dB
              16,       39.811 Hz,      200 mV p-p,       68.287 dB
              17,       43.652 Hz,      200 mV p-p,       64.918 dB
              18,       47.863 Hz,      200 mV p-p,       59.616 dB
              19,       52.481 Hz,      200 mV p-p,       58.697 dB
              20,       57.544 Hz,      200 mV p-p,       62.760 dB
              21,       63.096 Hz,      200 mV p-p,       59.437 dB
              22,       69.183 Hz,      200 mV p-p,       60.608 dB
              23,       75.858 Hz,      200 mV p-p,       60.625 dB
              24,       83.176 Hz,      200 mV p-p,       57.326 dB
              25,       91.201 Hz,      200 mV p-p,       56.790 dB
              26,      100.000 Hz,      200 mV p-p,       56.825 dB
              27,      109.648 Hz,      200 mV p-p,       57.205 dB
              28,      120.226 Hz,      200 mV p-p,       57.251 dB
              29,      131.826 Hz,      200 mV p-p,       57.156 dB
              30,      144.544 Hz,      200 mV p-p,       55.826 dB
              31,      158.489 Hz,      200 mV p-p,       54.462 dB
              32,      173.780 Hz,      200 mV p-p,       55.066 dB
              33,      190.546 Hz,      200 mV p-p,       56.288 dB
              34,      208.930 Hz,      200 mV p-p,       52.705 dB
              35,      229.087 Hz,      200 mV p-p,       54.428 dB
              36,      251.189 Hz,      200 mV p-p,       49.929 dB
              37,      275.423 Hz,      200 mV p-p,       53.282 dB
              38,      301.995 Hz,      200 mV p-p,       51.861 dB
              39,      331.131 Hz,      200 mV p-p,       50.891 dB
              40,      363.078 Hz,      200 mV p-p,       52.600 dB
              41,      398.107 Hz,      200 mV p-p,       51.885 dB
              42,      436.516 Hz,      200 mV p-p,       51.104 dB
              43,      478.630 Hz,      200 mV p-p,       52.207 dB
              44,      524.807 Hz,      200 mV p-p,       51.984 dB
              45,      575.440 Hz,      200 mV p-p,       49.490 dB
              46,      630.957 Hz,      200 mV p-p,       48.040 dB
              47,      691.831 Hz,      200 mV p-p,       49.465 dB
              48,      758.578 Hz,      200 mV p-p,       47.672 dB
              49,      831.764 Hz,      200 mV p-p,       48.916 dB
              50,      912.011 Hz,      200 mV p-p,       46.949 dB
              51,    1.000000 kHz,      200 mV p-p,       46.534 dB
              52,    1.096478 kHz,      200 mV p-p,       45.566 dB
              53,    1.202264 kHz,      200 mV p-p,       44.903 dB
              54,    1.318257 kHz,      200 mV p-p,       44.158 dB
              55,    1.445440 kHz,      200 mV p-p,       43.543 dB
              56,    1.584893 kHz,      200 mV p-p,       43.143 dB
              57,    1.737801 kHz,      200 mV p-p,       42.236 dB
              58,    1.905461 kHz,      200 mV p-p,       41.483 dB
              59,    2.089296 kHz,      200 mV p-p,       40.983 dB
              60,    2.290868 kHz,      200 mV p-p,       40.196 dB
              61,    2.511886 kHz,      200 mV p-p,       39.182 dB
              62,    2.754229 kHz,      200 mV p-p,       38.514 dB
              63,    3.019952 kHz,      200 mV p-p,       37.640 dB
              64,    3.311311 kHz,      200 mV p-p,       36.975 dB
              65,    3.630781 kHz,      200 mV p-p,       36.316 dB
