Date and Time,16 Nov 2023   07:55
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
              33,      190.546 Hz,      200 mV p-p,       56.992 dB
              34,      208.930 Hz,      200 mV p-p,       55.893 dB
              35,      229.087 Hz,      200 mV p-p,       52.802 dB
              36,      251.189 Hz,      200 mV p-p,       51.665 dB
              37,      275.423 Hz,      200 mV p-p,       54.559 dB
              38,      301.995 Hz,      200 mV p-p,       55.549 dB
              39,      331.131 Hz,      200 mV p-p,       51.391 dB
              40,      363.078 Hz,      200 mV p-p,       52.553 dB
              41,      398.107 Hz,      200 mV p-p,       53.978 dB
              42,      436.516 Hz,      200 mV p-p,       52.674 dB
              43,      478.630 Hz,      200 mV p-p,       54.029 dB
              44,      524.807 Hz,      200 mV p-p,       53.456 dB
              45,      575.440 Hz,      200 mV p-p,       52.575 dB
              46,      630.957 Hz,      200 mV p-p,       52.021 dB
              47,      691.831 Hz,      200 mV p-p,       49.295 dB
              48,      758.578 Hz,      200 mV p-p,       50.831 dB
              49,      831.764 Hz,      200 mV p-p,       51.655 dB
              50,      912.011 Hz,      200 mV p-p,       47.937 dB
              51,    1.000000 kHz,      200 mV p-p,       48.234 dB
              52,    1.096478 kHz,      200 mV p-p,       48.159 dB
              53,    1.202264 kHz,      200 mV p-p,       46.652 dB
              54,    1.318257 kHz,      200 mV p-p,       45.530 dB
              55,    1.445440 kHz,      200 mV p-p,       44.704 dB
              56,    1.584893 kHz,      200 mV p-p,       44.046 dB
              57,    1.737801 kHz,      200 mV p-p,       42.438 dB
              58,    1.905461 kHz,      200 mV p-p,       42.015 dB
              59,    2.089296 kHz,      200 mV p-p,       41.140 dB
              60,    2.290868 kHz,      200 mV p-p,       40.038 dB
              61,    2.511886 kHz,      200 mV p-p,       39.002 dB
              62,    2.754229 kHz,      200 mV p-p,       38.545 dB
              63,    3.019952 kHz,      200 mV p-p,       37.437 dB
              64,    3.311311 kHz,      200 mV p-p,       36.977 dB
              65,    3.630781 kHz,      200 mV p-p,       35.529 dB
              66,    3.981072 kHz,      200 mV p-p,       34.970 dB
              67,    4.365158 kHz,      200 mV p-p,       34.470 dB
              68,    4.786301 kHz,      200 mV p-p,       33.469 dB
              69,    5.248075 kHz,      200 mV p-p,       32.713 dB
              70,    5.754399 kHz,      200 mV p-p,       31.881 dB
              71,    6.309573 kHz,      200 mV p-p,       31.290 dB
              72,    6.918310 kHz,      200 mV p-p,       30.428 dB
              73,    7.585776 kHz,      200 mV p-p,       29.773 dB
              74,    8.317638 kHz,      200 mV p-p,       28.831 dB
              75,    9.120108 kHz,      200 mV p-p,       28.179 dB
              76,   10.000000 kHz,      200 mV p-p,       27.485 dB
              77,   10.964782 kHz,      200 mV p-p,       26.882 dB
              78,   12.022644 kHz,      200 mV p-p,       26.234 dB
              79,   13.182567 kHz,      200 mV p-p,       25.420 dB
              80,   14.454398 kHz,      200 mV p-p,       24.640 dB
              81,   15.848932 kHz,      200 mV p-p,       24.044 dB
              82,   17.378008 kHz,      200 mV p-p,       23.262 dB
              83,   19.054607 kHz,      200 mV p-p,       22.498 dB
              84,   20.892961 kHz,      200 mV p-p,       21.590 dB
              85,   22.908677 kHz,      200 mV p-p,       20.926 dB
              86,   25.118864 kHz,      200 mV p-p,       20.042 dB
              87,   27.542287 kHz,      200 mV p-p,       19.081 dB
              88,   30.199517 kHz,      200 mV p-p,       18.222 dB
              89,   33.113112 kHz,      200 mV p-p,       17.249 dB
              90,   36.307805 kHz,      200 mV p-p,       16.390 dB
              91,   39.810717 kHz,      200 mV p-p,       15.181 dB
              92,   43.651583 kHz,      200 mV p-p,       14.411 dB
              93,   47.863009 kHz,      200 mV p-p,       13.108 dB
              94,   52.480746 kHz,      200 mV p-p,       12.396 dB
              95,   57.543994 kHz,      200 mV p-p,       11.109 dB
              96,   63.095734 kHz,      200 mV p-p,       10.651 dB
              97,   69.183097 kHz,      200 mV p-p,        9.569 dB
              98,   75.857758 kHz,      200 mV p-p,        8.911 dB
              99,   83.176377 kHz,      200 mV p-p,        7.585 dB
             100,   91.201084 kHz,      200 mV p-p,        6.898 dB
             101,   100.00000 kHz,      200 mV p-p,        6.219 dB
