Date and Time,16 Nov 2023   07:55
Serial Number,MY61310163

               #,       Frequency,       Amplitude,            PSRR
               1,       10.000 Hz,      200 mV p-p,       74.010 dB
               2,       10.965 Hz,      200 mV p-p,       80.533 dB
               3,       12.023 Hz,      200 mV p-p,       82.405 dB
               4,       13.183 Hz,      200 mV p-p,       73.912 dB
               5,       14.454 Hz,      200 mV p-p,       76.791 dB
               6,       15.849 Hz,      200 mV p-p,       77.167 dB
               7,       17.378 Hz,      200 mV p-p,       68.629 dB
               8,       19.055 Hz,      200 mV p-p,       73.267 dB
               9,       20.893 Hz,      200 mV p-p,       68.134 dB
              10,       22.909 Hz,      200 mV p-p,       68.088 dB
              11,       25.119 Hz,      200 mV p-p,       67.911 dB
              12,       27.542 Hz,      200 mV p-p,       65.337 dB
              13,       30.200 Hz,      200 mV p-p,       67.354 dB
              14,       33.113 Hz,      200 mV p-p,       80.298 dB
              15,       36.308 Hz,      200 mV p-p,       63.169 dB
              16,       39.811 Hz,      200 mV p-p,       62.091 dB
              17,       43.652 Hz,      200 mV p-p,       65.583 dB
              18,       47.863 Hz,      200 mV p-p,       64.850 dB
              19,       52.481 Hz,      200 mV p-p,       63.220 dB
              20,       57.544 Hz,      200 mV p-p,       63.807 dB
              21,       63.096 Hz,      200 mV p-p,       62.368 dB
              22,       69.183 Hz,      200 mV p-p,       57.830 dB
              23,       75.858 Hz,      200 mV p-p,       59.679 dB
              24,       83.176 Hz,      200 mV p-p,       57.834 dB
              25,       91.201 Hz,      200 mV p-p,       59.289 dB
              26,      100.000 Hz,      200 mV p-p,       58.771 dB
              27,      109.648 Hz,      200 mV p-p,       55.862 dB
              28,      120.226 Hz,      200 mV p-p,       57.138 dB
              29,      131.826 Hz,      200 mV p-p,       55.252 dB
              30,      144.544 Hz,      200 mV p-p,       54.795 dB
              31,      158.489 Hz,      200 mV p-p,       56.031 dB
              32,      173.780 Hz,      200 mV p-p,       54.691 dB
